source,source_id,title,company,Company,location,Location,description,url,post_date,Post_Date,scraped_at,Scraped_Date,salary,salary_min,salary_max,Salary_Min,Salary_Max,contract_type,Job_Type,category,Skills,Is_Remote,Work_Arrangement,Desc_Length,Title_Word_Count,has_salary,Seniority,industry,job_hash,Salary_Avg,Salary_Range,job_grade,clearance_required,employment_type,government_grade
adzuna,5551002801,"Behavior Technician/Registered Behavior Technician (VA Area)_McLean, VA",Kona Medical Consulting,Kona Medical Consulting,"Pimmit, Fairfax County","Pimmit, Fairfax County","Kona Medical Consulting and Body Kinetics Rehab is currently looking for BTs and/or RBTs in the following areas in Virginia: Annandale, Aldie, Woodbridge, Lorton, Arlington, Alexandria, Springfield, Manassas, Tysons, McLean, and Falls church. JOB SUMMARY We are looking to hire individuals ASAP, with a Bachelor's degree in human services (social work, psychology, rehabilitation, special education, and similar fields) and a minimum of 1 year of experience either teaching, training, or providing A…",https://www.adzuna.com/details/5551002801?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$45,760 - $62,400",45760.0,62400.0,45760.0,62400.0,Full-time,Full-time,Healthcare & Nursing Jobs,['r'],False,On-site,500,7,True,Senior,Healthcare & Nursing Jobs,d93a9a2852163e56a4e4c1aebf01e164,54080.0,"$45,760-$62,400",,,,
adzuna,5551001836,Academic Reporting and Assessment Analyst,Harford Community College Portal,Harford Community College Portal,"Maryland, US","Maryland, Us","Job Description The Academic Data & Reporting Analyst plays a pivotal role in transforming data into meaningful insights that strengthen student success, support program quality, and enhance institutional effectiveness. Serving as a data partner for Academic Affairs, this position leads internal and external reporting, supports academic assessment processes, and delivers high-quality analysis to faculty, staff, and leadership. The individual in this role will work across teams, tools, and syste…",https://www.adzuna.com/details/5551001836?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$73,188 - $73,188",73188.27,73188.27,73188.27,73188.27,Full-time,Full-time,Teaching Jobs,['r'],False,On-site,500,5,True,Junior,Teaching Jobs,32c2debc2d5f76bc0a8931e021e2744d,73188.27,"$73,188-$73,188",,,,
adzuna,5551001584,"Senior Director, Controllership Data Strategy & Execution",Salesforce,Salesforce,"Atlanta, Fulton County","Atlanta, Fulton County","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Finance Job Details About Salesforce Salesforce is the 1 AI CRM, where humans with agents drive customer success together. Here, ambition meets action. Tech meets trust. And innovation isn’t a buzzword — it’s a way of life. The world of work as we know it is changing and we're looking for Trailblazers who are passionate about bettering …",https://www.adzuna.com/details/5551001584?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$224,329 - $224,329",224329.31,224329.31,224329.31,224329.31,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,7,True,Senior,IT Jobs,2a7a760cc3d1887a973312c5a537e66c,224329.31,"$224,329-$224,329",,,,
adzuna,5550999825,Manufacturing Data Analyst,Coherent,Coherent,"Old Orchard, Northampton County","Old Orchard, Northampton County","Description The Manufacturing Data Analyst will be a member of the Coherent SiC Data Systems Team, which provides data and software solutions to support next-generation semiconductor (SiC) manufacturing at all Coherent sites world-wide. The focus of this role is to build automated reports on key manufacturing metrics, such as yield, throughput, WIP stock, and cycle time, from multiple data sources. A successful candidate would be a resourceful individual, a fast learner with a strong background…",https://www.adzuna.com/details/5550999825?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$85,963 - $85,963",85963.18,85963.18,85963.18,85963.18,permanent,permanent,IT Jobs,['r'],False,On-site,500,3,True,Junior,IT Jobs,78c43e106990781a631eca1598471f56,85963.18,"$85,963-$85,963",,,,
adzuna,5550999109,Data & Impact Analyst,New Leaders Inc,New Leaders,US,Us,"Our Mission New Leaders develops transformational school leaders and advances policies and practices that ensure high academic achievement for all children—especially students from under-resourced communities. Position Details The Adjunct Data Researcher will be based out of a home office located anywhere within the contiguous United States (Pacific, Mountain, Central, and Eastern time zones) or United States territories that fall within the Atlantic time zone. Position Details The Adjunct Data…",https://www.adzuna.com/details/5550999109?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$82,992 - $99,008",82992.0,99008.0,82992.0,99008.0,contract,contract,IT Jobs,['r'],False,On-site,500,4,True,Junior,IT Jobs,55aadd7fda4801b69dfbf330f320805c,91000.0,"$82,992-$99,008",,,,
adzuna,5550999087,"Senior Consultant, Data Analyst | Forensic and Litigation Consulting",FTI Consulting,Fti Consulting,"Madison, Morgan County","Madison, Morgan County","Who We Are FTI Consulting is the leading global expert firm for organizations facing crisis and transformation. We work with many of the world’s top multinational corporations, law firms, banks and private equity firms on their most important issues to deliver impact that makes a difference. From resolving disputes, navigating crises, managing risk and optimizing performance, our teams respond rapidly to dynamic and complex situations. At FTI Consulting, you’ll work side-by side with leaders wh…",https://www.adzuna.com/details/5550999087?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$80,293 - $80,293",80293.48,80293.48,80293.48,80293.48,contract,contract,Accounting & Finance Jobs,['r'],False,On-site,500,9,True,Senior,Accounting & Finance Jobs,446a40616a1c4e739d44e6bb769f1490,80293.48,"$80,293-$80,293",,,,
adzuna,5550998787,High Touch Customer Success Manager - PST,Ashby,Ashby,"San Francisco, California","San Francisco, California","About this Role Hi, I’m Beth, and I’m the Manager of High Touch Customer Success at Ashby. Our team is passionate about shaping and scaling an exceptional high-touch customer experience across the mid-market segment. I'm thrilled to be hiring our next CSM, specifically in the PST or MST timezone, as we continue expanding globally. As a member of our Customer Success team, you will help us continue to grow our High Touch Customer Success function. In this role, you'll onboard, train, and support…",https://www.adzuna.com/details/5550998787?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$110,000 - $145,000",110000.0,145000.0,110000.0,145000.0,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,7,True,Junior,IT Jobs,302c6268c25863c2a4e6967d45d783bc,127500.0,"$110,000-$145,000",,,,
adzuna,5550998086,Data Analyst,Point32Health,Point32health,"Canton, Norfolk County","Canton, Norfolk County","Who We Are Point32Health is a leading not-for-profit health and well-being organization dedicated to delivering high-quality, affordable healthcare. Serving nearly 2 million members, Point32Health builds on the legacy of Harvard Pilgrim Health Care and Tufts Health Plan to provide access to care and empower healthier lives for everyone. Our culture revolves around being a community of care and having shared values that guide our behaviors and decisions. We’ve had a long-standing commitment to i…",https://www.adzuna.com/details/5550998086?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$74,864 - $112,296",74864.0,112296.0,74864.0,112296.0,Full-time,Full-time,HR & Recruitment Jobs,['r'],False,On-site,500,2,True,Mid-level,HR & Recruitment Jobs,e7a80f9aea2d1c72e8e1a464583dc481,93580.0,"$74,864-$112,296",,,,
adzuna,5550988958,Project Finance Analyst,Power Design,Power Design,"Saint Petersburg, Pinellas County","Saint Petersburg, Pinellas County","About the Position The Project Finance Analyst at Power Design works at our corporate headquarters in St. Petersburg, Florida, and plays an integral role in our budgeting, forecasting, and risk management processes. By providing reporting and analytics to department managers and executive leadership, the Project Finance Analyst supports informed decision-making and drives financial performance. This is not a traditional analyst role—it’s ideal for someone who enjoys building relationships, infl…",https://www.adzuna.com/details/5550988958?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$79,648 - $79,648",79648.27,79648.27,79648.27,79648.27,contract,contract,Accounting & Finance Jobs,['r'],False,On-site,500,3,True,Junior,Accounting & Finance Jobs,c4d1d64894fd239a90ec5e0b34fe96bf,79648.27,"$79,648-$79,648",,,,
adzuna,5550987861,Product Manager - Data Analytics and Reports (Onsite),RTX,Rtx,"Houston, Harris County","Houston, Harris County","Date Posted: 2025-12-18 Country: United States of America Location: HTX37: FlightAware HQ Eleven Greenway Plaza, Suite 2900, Houston, TX, 77046 USA Position Role Type: Onsite U.S. Citizen, U.S. Person, or Immigration Status Requirements: Must be authorized to work in the U.S. without the company’s immigration sponsorship now or in the future. The company will not offer immigration sponsorship for this position.​ The company will not seek an export authorization for this role. Security Clearance…",https://www.adzuna.com/details/5550987861?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"Up to $203,000",0.0,203000.0,0.0,203000.0,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,8,True,Junior,IT Jobs,345ef8663ebb125a7e4bd3c7e306a05c,,,,,,
adzuna,5550987535,"Data Analyst, Senior Specialist",The Vanguard Group,The Vanguard Group,"Malvern, Chester County","Malvern, Chester County","Analyzes data, assesses trends and develops actionable insights and recommendations in support of enterprise-wide strategic business initiatives. Develops the analytics community at Vanguard by coaching others internally and participating in external events. Core Responsibilities Engages with internal partners to understand business strategy, questions and goals. Brings structure to business requests, translates requirements into an analytical project approach, and leads complex projects throug…",https://www.adzuna.com/details/5550987535?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$75,644 - $75,644",75644.35,75644.35,75644.35,75644.35,Full-time,Full-time,Sales Jobs,['r'],False,On-site,500,4,True,Senior,Sales Jobs,227d92ce16a3ecb3e5e9fb95dc4e7834,75644.35,"$75,644-$75,644",,,,
adzuna,5550987002,Analytics Director,America Votes,America Votes,"Washington, Washington, D.C.","Washington, Washington, D.C.","Organization Overview America Votes works year-round to build a more representative democracy, strengthen every American's right to vote, and win elections in key states. America Votes leads a robust, growing coalition of more than 400 progressive organizations across the country, building coordinated plans and executing shared strategies to win elections. America Votes provides a range of services to partners, including strategic planning, advocacy and electoral campaign coordination, data too…",https://www.adzuna.com/details/5550987002?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$125,000 - $135,000",125000.0,135000.0,125000.0,135000.0,permanent,permanent,IT Jobs,['r'],False,On-site,500,2,True,Junior,IT Jobs,55fa0e0ffdf3018caf6f0980b3a73b3f,130000.0,"$125,000-$135,000",,,,
adzuna,5550986369,Workload Analyst,Kohls,Kohls,US,Us,"Role Specific Information Job Description About the Role As a Workload Analyst, you will transform data into actionable insights to ensure stores receive the right workload, at the right time, aligned to business priorities and staffing capacity. This role will partner closely with Workload Planner to measure task demand and analyze labor impacts to support consistent store execution. What You’ll Do Build and maintain workload models using labor standards and store attributes Analyze weekly, mo…",https://www.adzuna.com/details/5550986369?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$77,162 - $77,162",77161.83,77161.83,77161.83,77161.83,Full-time,Full-time,Retail Jobs,['r'],False,On-site,500,2,True,Mid-level,Retail Jobs,1711d8f106f6af795e2394d9754194ce,77161.83,"$77,162-$77,162",,,,
adzuna,5550985863,"Data Manager, Sr.",Tallgrass,Tallgrass,"Houston, Harris County","Houston, Harris County","Description Primary purpose: The Senior Data Manager serves as both a technical authority in data engineering and a strategic enabler for Procurement, acting as the primary liaison between Procurement and IT. This role owns the architecture and ongoing maintenance of Procurement’s Fabric environment while contributing to multidisciplinary teams to establish enterprise standards for data governance, process modeling, and AI-ready information structures; ensuring Procurement operates from a trust…",https://www.adzuna.com/details/5550985863?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$240,101 - $240,101",240101.45,240101.45,240101.45,240101.45,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,3,True,Senior,IT Jobs,8d521a1ec20532f03abfdaeb1d252b18,240101.45,"$240,101-$240,101",,,,
adzuna,5550985790,Casino Marketing Manager,Augustine Casino Careers,Augustine Casino Careers,"Coachella, Riverside County","Coachella, Riverside County","Summary Augustine Casino is seeking a dynamic and results-driven Marketing Manager to lead our guest-facing marketing efforts. This role is pivotal in driving property volume and player loyalty within our local and winter visitor demographics. You will oversee the Guest Services and Casino Host teams, ensuring a seamless bridge between data-driven promotions and high-touch personal service. The ideal candidate is a strategic thinker who isn't afraid to be present on the gaming floor to understa…",https://www.adzuna.com/details/5550985790?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$82,233 - $82,233",82233.41,82233.41,82233.41,82233.41,Full-time,Full-time,Customer Services Jobs,['r'],False,On-site,500,3,True,Junior,Customer Services Jobs,9f60318e46a6d1b929b11ff84155435a,82233.41,"$82,233-$82,233",,,,
adzuna,5550984617,Data and Information Analyst (Court Clinic),Pmhcc Inc.,Pmhcc,"Middle West, Philadelphia County","Middle West, Philadelphia County","Position Summary: The Behavioral Health and Justice Division (BHJD) seeks qualified candidates who are passionate about using data and information to effectively and efficiently inform policy, program, and intervention creation and evaluation for Philadelphia’s who find themselves at the intersection of the behavioral health and criminal justice system. To assist in accomplishing these goals, BHJD has developed the position of Data and Information Analyst. In this position, the Analyst will be …",https://www.adzuna.com/details/5550984617?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"Up to $59,116",0.0,59116.0,0.0,59116.0,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,6,True,Junior,IT Jobs,8abfbcb8955c89e6bfed06f9c503cf24,,,,,,
adzuna,5550984136,Business Data Architect,U.S. Bank,U.s. Bank,"Minneapolis, Hennepin County","Minneapolis, Hennepin County","At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shared ambition to life, and each person is unique in their potential. A career with U.S. Bank gives you a wide, ever-growing range of opportunities to discover what makes you thrive at every stage of your career. Try new things, learn new skills and di…",https://www.adzuna.com/land/ad/5550984136?se=IPVyLZze8BGIlMGgAbaBrg&utm_medium=api&utm_source=41102b43&v=307C9247328D853620E3A0B0BF39AF6E544187E3,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$149,515 - $175,900",149515.0,175900.0,149515.0,175900.0,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,3,True,Junior,IT Jobs,433fbd967f7f45c0a47e3bd03bba64e5,162707.5,"$149,515-$175,900",,,,
adzuna,5550984129,"Analyst, Data Management - Fixed Income Indices",S&P Global,S&p Global,"Dallas, Texas","Dallas, Texas","About the Role: Grade Level (for internal use): 09 About the Role: Sr Operations Specialist, Fixed Income Data Management The Team: The role will be part of the Index Management and Production Group (IMPG) at S&P Global. The team is responsible for the production and management of a wide range of indices covering global options, equities, futures, fixed income, commodity, digital assets and economics indices. This specific role will focus on Fixed Income indices, ensuring the integrity and accu…",https://www.adzuna.com/details/5550984129?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$87,650 - $87,650",87649.95,87649.95,87649.95,87649.95,Full-time,Full-time,Accounting & Finance Jobs,['r'],False,On-site,500,7,True,Junior,Accounting & Finance Jobs,09d95bb18253d9fe842424583bfd7806,87649.95,"$87,650-$87,650",,,,
adzuna,5550982508,Marketing Data Analyst,Optimal,Optimal,"Austin, Travis County","Austin, Travis County","About the Role Optimal is looking for a Marketing Data Analyst with experience in performance digital marketing analytics . The Marketing Data Analyst works hand-in-hand with our Paid Media and SEO departments to improve the effectiveness and efficiency of our client services teams. The Data Analyst helps to clearly quantify client performance objectives by maintaining our existing reporting suites, creating new methods of reporting, and automating repetitive tasks. The Marketing Data Analyst w…",https://www.adzuna.com/details/5550982508?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$75,000 - $95,000",75000.0,95000.0,75000.0,95000.0,Full-time,Full-time,"PR, Advertising & Marketing Jobs",['r'],False,On-site,500,3,True,Junior,"PR, Advertising & Marketing Jobs",d04a83ab31f9e57a16da44d11612183f,85000.0,"$75,000-$95,000",,,,
adzuna,5550982116,"Data Analyst, Go-to-Market",Ashby,Ashby,"San Francisco, California","San Francisco, California","The closing date for applications is Dec 31st at 5pm PT. We will review every application and speak to the shortlist we make based on the applications. About this Role: Our First Embedded Data Analyst!  Hi, I’m Kevin . I manage the Data Team and our analytics products at Ashby. As Ashby continues to grow, we are expanding the reach of high-quality analytical work across the company. This role is our first embedded Data Analyst: you will be a full member of the Data Team, but your day-to-day pri…",https://www.adzuna.com/details/5550982116?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$120,000 - $150,000",120000.0,150000.0,120000.0,150000.0,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,3,True,Mid-level,IT Jobs,8b0e407cce13c5a0ca83b8469af2166e,135000.0,"$120,000-$150,000",,,,
adzuna,5550982107,Quality Improvement Analyst-1,Public Partnerships,Public Partnerships,US,Us,"It's fun to work in a company where people truly BELIEVE in what they're doing! We're committed to bringing passion and customer focus to the business. Public Partnerships LLC supports individuals with disabilities or chronic illnesses and aging adults, to remain in their homes and communities and “self” direct their own long-term home care. Our role as the nation’s largest and most experienced Financial Management Service provider is to assist those eligible Medicaid recipients to choose and p…",https://www.adzuna.com/details/5550982107?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$61,000 - $70,000",61000.0,70000.0,61000.0,70000.0,Full-time,Full-time,Accounting & Finance Jobs,['r'],False,On-site,500,3,True,Senior,Accounting & Finance Jobs,bb05592dcb12c7086b9ef31b3441e28e,65500.0,"$61,000-$70,000",,,,
