title,company,location,salary_avg,salary_min,salary_max,is_remote,seniority,category,skills,post_date,scraped_date
Sr. Data Management Analyst,Tech-Marine Business Inc,"Washington, Washington, D.C.",111960.16,111960.16,111960.16,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Traffic Analyst - Latin America Ocean Shipping,Oocl Usa Inc,"South Jordan, Salt Lake County",69822.41,69822.41,69822.41,0,Junior,Logistics & Warehouse Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Central Logistics Oper Analyst,CleanHarbors,"Norwell, Plymouth County",49508.2,49508.2,49508.2,0,Junior,"Energy, Oil & Gas Jobs",['r'],2025-12-21,2025-12-22 00:08:01
Data Architect,Emergent Technologies Inc,"Herndon, Fairfax County",96091.56,96091.56,96091.56,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Sr. Data Scientist,BambooHR,"Draper, Salt Lake County",96663.35,96663.35,96663.35,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Senior Civil Engineering Project Manager,Alta Planning + Design,"Portland, Multnomah County",87581.1,87581.1,87581.1,0,Senior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Senior Data Reporting Analyst - Product Data & Compliance,Great American Insurance Company,"Cincinnati, Hamilton County",73109.86,73109.86,73109.86,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Submarine Logistic Technical Data (LTD) Analyst,"KMS Solutions, LLC",US,76317.0,76317.0,76317.0,0,Junior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Palmdale, Los Angeles County",93635.83,93635.83,93635.83,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Denton, Denton County",91808.98,91808.98,91808.98,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Evans, Columbia County",92868.7,92868.7,92868.7,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Costa Mesa, Orange County",94880.81,94880.81,94880.81,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Watauga, Tarrant County",87720.7,87720.7,87720.7,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Ridgecrest, Kern County",101260.88,101260.88,101260.88,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Behavior Interventionist,"Behavior Change Institute, LLC","Aztec, San Juan County",33799.77,33799.77,33799.77,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst,AMS,"Knoxville, Knox County",80139.18,80139.18,80139.18,0,Mid-level,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Project Manager - Clinical Terminologist,Cherokee Federal,"Alameda, Bernalillo County",93528.11,93528.11,93528.11,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
"Engineer, Data",Holley Performance,"Nashville, Davidson County",80546.41,80546.41,80546.41,0,Junior,IT Jobs,"['scala', 'r']",2025-12-21,2025-12-22 00:08:05
Traffic Analyst - Latin America Ocean Shipping,Oocl Usa Inc,"Riverton, Salt Lake County",79784.8,79784.8,79784.8,0,Junior,Logistics & Warehouse Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Database Analyst IV,Apidel Technologies,"Salem, Marion County",103075.96,103075.96,103075.96,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Clinical Data Analyst,Kpc Global Medical Centers Inc.,"Santa Ana, Orange County",79735.59,79735.59,79735.59,0,Junior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
"Behavior Technician/Registered Behavior Technician (VA Area)_Springfield, VA",Kona Medical Consulting,"West Springfield, Fairfax County",54080.0,45760.0,62400.0,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Colleyville, Tarrant County",91937.08,91937.08,91937.08,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Chicago Heights, Cook County",91382.36,91382.36,91382.36,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst (Remote),Quality Talent Group,"Beeville, Bee County",98699.95,98699.95,98699.95,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Integration Engineer,Bridgehead IT,"San Antonio, Bexar County",99900.27,99900.27,99900.27,0,Junior,IT Jobs,"['scala', 'r']",2025-12-21,2025-12-22 00:08:05
Data Engineer,Infinitive Inc,"Mc Lean, Fairfax County",128187.41,128187.41,128187.41,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst,Spearhead Staffing,"Cypress, Orange County",66045.09,66045.09,66045.09,0,Mid-level,Logistics & Warehouse Jobs,['r'],2025-12-21,2025-12-22 00:08:05
"Operations Manager, Integrations/Infrastructure",Commure,"Mountain View, Santa Clara County",137745.27,137745.27,137745.27,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Senior Analytics Engineer,Clever,"San Francisco, California",200998.92,200998.92,200998.92,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Engineer,Certified Laboratories Inc,"San Antonio, Bexar County",130049.45,130049.45,130049.45,0,Junior,IT Jobs,"['sql', 'r', 'azure']",2025-12-21,2025-12-22 00:08:05
ORT Data Analyst,Amphenol TCS,US,59260.68,59260.68,59260.68,0,Mid-level,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Transportation Project Manager,Alta Planning + Design,"Atlanta, Fulton County",66427.51,66427.51,66427.51,0,Junior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Student Analyst - Supporting Future Behavior Analysts Without Contract,Myers Assessment and Therapeutic Services,"Tyrone, Fayette County",42540.62,42540.62,42540.62,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
EHR/EMR Principal Data Analyst,Elsevier,US,158300.0,118700.0,197900.0,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
High Touch Customer Success Manager - EST,Ashby,"San Francisco, California",127500.0,110000.0,145000.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Momentum Functional Solution/Data Estate/BI/ Business Analysts/Testers,CACI,US,116650.0,75200.0,158100.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Budget Analyst,"New York Edge, Inc","Jamaica Est, Queens",27500.0,0.0,55000.0,0,Mid-level,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Operations Engineer - Data Systems,Invenergy,"Chicago, Cook County",102500.0,90000.0,115000.0,0,Junior,IT Jobs,"['scala', 'r']",2025-12-21,2025-12-22 00:08:05
Safety Analyst II (Hybrid),Lower Colorado River Authority,"Austin, Travis County",46000.18,46000.18,46000.18,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Board Certified Behavior Analyst (BCBA),Titan Placement Group,"Lilburn, Gwinnett County",195390.0,780.0,390000.0,0,Senior,Social work Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Lead Data Analyst- Digital Analytics,The Vanguard Group,"Malvern, Chester County",94385.7,94385.7,94385.7,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Junior Operations Manager-Transportation,Quality Counts LLC,"Irving, Dallas",80000.0,70000.0,90000.0,0,Junior,Manufacturing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Junior Operations Manager-Transportation,Quality Counts LLC,"King, Washington County",80000.0,70000.0,90000.0,0,Junior,Manufacturing Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Electromechanical Engineer,Akkodis,"Carson, Washington County",96812.16,96812.16,96812.16,0,Junior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Owner Senior Associate,JPMorgan Chase & Co.,"New York City, New York",130586.22,130586.22,130586.22,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
"Associate Director, Business Analytics",CSL,"King of Prussia, Montgomery County",100814.17,100814.17,100814.17,0,Junior,Consultancy Jobs,['r'],2025-12-21,2025-12-22 00:08:05
"Managing Data Scientist (Chemistry, Materials Controls Acceleration)",AbbVie,"North Chicago, Lake County",154500.0,106500.0,202500.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Pharmacometrics Analyst (SAS Programming),AbbVie,"North Chicago, Lake County",154750.0,110500.0,199000.0,0,Junior,Scientific & QA Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Paid Search Marketing Manager,LawnStarter,US,66434.29,66434.29,66434.29,0,Junior,"PR, Advertising & Marketing Jobs",['r'],2025-12-21,2025-12-22 00:08:05
"Graduate Medical Education Coordinator, Anesthesiology, Full Time",VIRTUA,"Camden, Camden County",49421.73,49421.73,49421.73,0,Junior,Graduate Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Senior Data Scientist with Security Clearance,ECS,"Camp Murray, Pierce County",201515.03,201515.03,201515.03,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Senior Data Analyst - HRIT Data Migration with Security Clearance,ECS,"Hampton Roads, Hampton City",148807.1,148807.1,148807.1,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Data Analyst with Security Clearance,ECS,"MacDill Air Force Base, Hillsborough County",87908.29,87908.29,87908.29,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:05
Contracts Specialist for Business Systems with Security Clearance,ECS,"Hampton Roads, Hampton City",107290.75,107290.75,107290.75,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:09
Senior Analyst- Regulatory Reporting,Adtalem Global Education,"Chicago, Cook County",97540.95,97540.95,97540.95,0,Senior,Scientific & QA Jobs,['r'],2025-12-21,2025-12-22 00:08:09
SAP RIS/POS - MUST Be US Citizen for Govenment Clearance!,EDC Consulting,"Prince George, Prince George County",136560.5,136560.5,136560.5,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:09
RN Case Management Specialist & Analyst,Carle Health,"Champaign, Champaign County",46210.57,46210.57,46210.57,0,Junior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:09
Business System Manager,Akkodis,"Omaha, Douglas County",110022.31,110022.31,110022.31,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Engineering Technologist,Johnson Service Group,"Ogden, Weber County",51517.37,51517.37,51517.37,0,Junior,Engineering Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Cary, Wake County",95920.9,95920.9,95920.9,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Databricks & Azure Data Platform Principal Engineer,Axiom Software Solutions Limited,"Warren, Macomb County",127399.02,127399.02,127399.02,0,Senior,IT Jobs,"['scala', 'r', 'azure']",2025-12-20,2025-12-22 00:08:09
Senior SEO Data Analyst,Spokeo,"Pasadena, Los Angeles County",143838.4,143838.4,143838.4,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst: Mission Services (TS/SCI Required),Kentro,"Washington, Washington, D.C.",86361.12,86361.12,86361.12,0,Senior,IT Jobs,"['spark', 'r']",2025-12-20,2025-12-22 00:08:09
Business Intelligence Developer | TS(SCI Eligible),Connect Talent Solutions,"Springfield, Fairfax County",70489.26,70489.26,70489.26,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Engineer,Forhyre,"New York City, New York",143031.89,143031.89,143031.89,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Azure Cloud Engineer,Akkodis,"Omaha, Douglas County",119653.37,119653.37,119653.37,0,Junior,IT Jobs,"['r', 'azure']",2025-12-20,2025-12-22 00:08:09
Data Scientist,Eyecarecenterofsalem,"Portland, Multnomah County",79532.21,79532.21,79532.21,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Oakley, Contra Costa County",93257.52,93257.52,93257.52,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Dublin, Alameda County",96424.79,96424.79,96424.79,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Los Altos, Santa Clara County",100501.42,100501.42,100501.42,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Weatherford, Parmer County",86798.58,86798.58,86798.58,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
IT/OT Technology Engineer,Akkodis,"Omaha, Douglas County",100976.21,100976.21,100976.21,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
QA Lead,Atlas Systems,"East Brunswick, Middlesex County",110357.96,110357.96,110357.96,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Senior Data Engineer,"SCA Pharmaceuticals, LLC","Little Rock, Pulaski County",132999.86,132999.86,132999.86,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Sanford, Seminole County",94931.86,94931.86,94931.86,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Portage, Kalamazoo County",92613.01,92613.01,92613.01,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Saint Marys, Camden County",94536.95,94536.95,94536.95,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Prosper, Collin County",91016.8,91016.8,91016.8,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Penn Hills, Allegheny County",94571.67,94571.67,94571.67,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Oneida, Madison County",94029.48,94029.48,94029.48,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"South Fulton, Fulton County",92677.68,92677.68,92677.68,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Lockport, Will County",93621.01,93621.01,93621.01,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Bethlehem, Northampton County",91686.48,91686.48,91686.48,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Detroit, Wayne County",93658.78,93658.78,93658.78,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Taylor, Wayne County",93918.16,93918.16,93918.16,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Rockwall, Rockwall County",97118.34,97118.34,97118.34,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst,ViaPlus by VINCI Highways,"Plano, Collin County",82871.19,82871.19,82871.19,0,Mid-level,"Energy, Oil & Gas Jobs",['r'],2025-12-20,2025-12-22 00:08:09
Senior Data Engineer (Python/PySpark/AWS),Infinitive Inc,"Ashburn, Loudoun County",159758.81,159758.81,159758.81,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Matthews, Mecklenburg County",93313.84,93313.84,93313.84,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Oxnard, Ventura County",97747.87,97747.87,97747.87,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Watsonville, Santa Cruz County",94570.77,94570.77,94570.77,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Cicero, Cook County",90439.16,90439.16,90439.16,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Clayton, Johnston County",87879.2,87879.2,87879.2,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Greenville, Pitt County",87837.65,87837.65,87837.65,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst,The Rockridge Group,"Concord, Contra Costa County",71846.23,71846.23,71846.23,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Tustin, Orange County",94059.79,94059.79,94059.79,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Miami Gardens, Miami-Dade County",96488.63,96488.63,96488.63,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Johnstown, Cambria County",86099.12,86099.12,86099.12,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Palmer, Northampton County",93662.09,93662.09,93662.09,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Data Analyst (Remote),Quality Talent Group,"Sterling Heights, Macomb County",90734.1,90734.1,90734.1,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Cabin Technology (IFE) Data Analyst,Swoon Staffing,"Dallas, Texas",119600.0,114400.0,124800.0,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
"Director, Information Security",Community Health System,"Fresno, Fresno County",126261.44,126261.44,126261.44,0,Junior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
Senior Operational Data Analyst,Strada Education Foundation,"Indianapolis, Marion County",107693.32,107693.32,107693.32,0,Senior,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:09
"Senior Engineering Manager, Marketing Technology & Customer Data Systems",Xometry,"North Bethesda, Montgomery County",163288.98,163288.98,163288.98,0,Senior,Engineering Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Windsor, Sonoma County",98308.79,98308.79,98308.79,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Mcdonough, Henry County",88372.03,88372.03,88372.03,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Covina, Los Angeles County",104418.38,104418.38,104418.38,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
Data Analyst (Remote),Quality Talent Group,"Kalamazoo, Kalamazoo County",91572.37,91572.37,91572.37,0,Mid-level,IT Jobs,['r'],2025-12-20,2025-12-22 00:08:12
