title,company_standardized,location_standardized,source,seniority_level,job_type,work_arrangement,salary_min_parsed,salary_max_parsed,salary_midpoint,salary_range,is_remote,has_salary,post_date_str,description_length,title_word_count,required_skills,url,scraped_at_str,source_id,company,location,description,post_date,scraped_at,salary,salary_min,salary_max,contract_type,category,job_hash
"Technical Engagement Manager, U.S. Public Sector",Invisible Technologies,"Baltimore, Baltimore County",adzuna,Manager,Full-time,On-site,117854.27,117854.27,117854.27,"$117,854-$117,854",False,True,2025-12-21,500,6,r,https://www.adzuna.com/details/5550984874?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550984874,Invisible Technologies,"Baltimore, Baltimore County","About Invisible Invisible Technologies makes AI work. Our end-to-end AI platform structures messy data, automates digital workflows, deploys agentic solutions, measures outcomes, and integrates human expertise where it matters most. Our platform cleans, labels, and structures company data so it is ready for AI. It adapts models to each business and adds human expertise when needed, the same approach we have used to improve models for more than 80% of the world’s top AI companies, including Micr…",2025-12-21,2025-12-21T23:42:37.990620,"$117,854 - $117,854",117854.27,117854.27,Full-time,IT Jobs,e5d7ee0d3c3547ca8392e61dd284cd48
Microanalysis Intern - Summer 2026,Entegris,"Billerica, Middlesex County",adzuna,Intern,contract,On-site,54564.45,54564.45,54564.45,"$54,564-$54,564",False,True,2025-12-21,500,5,r,https://www.adzuna.com/details/5550984631?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550984631,Entegris,"Billerica, Middlesex County","Job Title: Microanalysis Intern - Summer 2026 Job Description: Microanalysis Intern - Summer 2026 Here at Entegris, we use advanced science to enable technologies that transform the world, and we are seeking employees who have the drive to continue the mission. The Role: Our site in Billerica, MA is seeking a/an Microanalysis Intern to join our team for the Summer 2026 season. This assignment is intended to be 12-14 weeks in duration. What You’ll Do: • Support routine analytical services for ot…",2025-12-21,2025-12-21T23:42:37.990620,"$54,564 - $54,564",54564.45,54564.45,contract,Scientific & QA Jobs,3a532c04606c93491b3001f6c40a402d
"Director, Research",Biohub,"Chicago, Cook County",adzuna,Director,Full-time,On-site,215000.0,295900.0,255450.0,"$215,000-$295,900",False,True,2025-12-21,500,2,r,https://www.adzuna.com/details/5550984286?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550984286,Biohub,"Chicago, Cook County","Biohub is leading the new era of AI-powered biology to cure or prevent disease through its 501c3 medical research organization, with the support of the Chan Zuckerberg Initiative. The Team At Biohub, we build the technology to help scientists around the world use AI-powered biology to study how cells operate, organize, and work as part of systems to understand why disease happens and how to correct it. Our organization brings together biomedical researchers, engineers and data scientists to mak…",2025-12-21,2025-12-21T23:42:37.990620,"$215,000 - $295,900",215000.0,295900.0,Full-time,Scientific & QA Jobs,440aede9e18db8a8c833e3af685a463c
Research Fellow,Point32health,"Boston, Suffolk County",adzuna,Mid-level,Full-time,On-site,62106.0,93159.0,77632.5,"$62,106-$93,159",False,True,2025-12-21,500,2,r,https://www.adzuna.com/details/5550983826?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550983826,Point32Health,"Boston, Suffolk County","Who We Are Point32Health is a leading not-for-profit health and well-being organization dedicated to delivering high-quality, affordable healthcare. Serving nearly 2 million members, Point32Health builds on the legacy of Harvard Pilgrim Health Care and Tufts Health Plan to provide access to care and empower healthier lives for everyone. Our culture revolves around being a community of care and having shared values that guide our behaviors and decisions. We’ve had a long-standing commitment to i…",2025-12-21,2025-12-21T23:42:37.990620,"$62,106 - $93,159",62106.0,93159.0,Full-time,Scientific & QA Jobs,442a332b3087630c6531c32995c0e389
"Staff Model UX Content Designer, Gemini App",Deepmind,"Mountain View, Santa Clara County",adzuna,Senior,Full-time,On-site,202575.95,202575.95,202575.95,"$202,576-$202,576",False,True,2025-12-21,500,7,"scala, r",https://www.adzuna.com/details/5550983659?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550983659,DeepMind,"Mountain View, Santa Clara County","Snapshot We’re hiring an experienced Model UX Content Designer to play a critical role in our Growth and Discovery initiatives. You’ll be responsible for developing and implementing content and model behavior standards, architecting scalable frameworks and processes. You’ll create robust response strategies, system instructions, rubrics, evaluation methods, and guidelines to support innovative ways of introducing the Gemini App to global audiences and ensuring our users consistently uncover its…",2025-12-21,2025-12-21T23:42:37.990620,"$202,576 - $202,576",202575.95,202575.95,Full-time,IT Jobs,9b303f1fa46b02de2d82bfce448843ed
Metabolic Modeling Data Scientist,Corteva Agriscience,"Indianapolis, Marion County",adzuna,Mid-level,Full-time,On-site,101696.87,101696.87,101696.87,"$101,697-$101,697",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550982558?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550982558,Corteva Agriscience,"Indianapolis, Marion County","Who We Are and What We Do At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind. Corteva Agriscience has an exciting opportunity for a Metabolic Modeling Data Scientist to develop and deploy predictive genome-scale metabolic mod…",2025-12-21,2025-12-21T23:42:37.990620,"$101,697 - $101,697",101696.87,101696.87,Full-time,Scientific & QA Jobs,0c3ed0b17d64b4328d16e3da81393bc0
"Product Manager, Lyft Business",Lyft,"San Francisco, California",adzuna,Manager,Full-time,On-site,128000.0,160000.0,144000.0,"$128,000-$160,000",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550981947?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550981947,Lyft,"San Francisco, California","At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. We are looking for product managers who bring exceptional creative, strategic, and analytical skills to drive forward a best-in-class product. Product management at Lyft leads the integration of engineering, data science, and design to achieve the company’s vision for reinventing transportation. We are looking for entrepreneuria…",2025-12-21,2025-12-21T23:42:37.990620,"$128,000 - $160,000",128000.0,160000.0,Full-time,IT Jobs,f97d9d646f01fdb11a755b5d5df0bc1b
2026 Summer Intern - Translational Pharmacokinetics and Pharmacodynamics,Genentech,"South San Francisco, San Mateo County",adzuna,Intern,contract,On-site,123706.6,123706.6,123706.6,"$123,707-$123,707",False,True,2025-12-21,500,8,r,https://www.adzuna.com/details/5550981807?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550981807,Genentech,"South San Francisco, San Mateo County","2026 Summer Intern - Translational Pharmacokinetics and Pharmacodynamics Department Summary This intern position is in the Translational Pharmacokinetics and Pharmacodynamics (tPKPD) Department. The tPKPD department is a critical function within the Development Sciences Organization, serving as the bridge between preclinical research and early clinical development. Our core mission is to quantitatively understand the relationship between a drug's exposure and its effect by applying robust scien…",2025-12-21,2025-12-21T23:42:37.990620,"$123,707 - $123,707",123706.6,123706.6,contract,Scientific & QA Jobs,e44e77c216c7348ec9f0f2fc52d8124b
Senior Data Scientist,Ōura,Us,adzuna,Senior,Full-time,On-site,150000.0,187000.0,168500.0,"$150,000-$187,000",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550981137?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550981137,Ōura,US,"Our mission at Oura is to empower every person to own their inner potential. Our award-winning products help our global community gain a deeper knowledge of their readiness, activity, and sleep quality by using their Oura Ring and its connected app. We've helped millions of people understand and improve their health by providing daily insights and practical steps to inspire healthy lifestyles. Empowering the world starts with living our values and empowering our team. As a quickly growing compa…",2025-12-21,2025-12-21T23:42:37.990620,"$150,000 - $187,000",150000.0,187000.0,Full-time,Accounting & Finance Jobs,537df19d66a0450df58aa2bd90e06212
Spring 2025 Clinical Economics Intern (Full-Time),Berkeley Research Group,"Baltimore, Baltimore County",adzuna,Intern,contract,On-site,64701.06,64701.06,64701.06,"$64,701-$64,701",False,True,2025-12-21,500,6,r,https://www.adzuna.com/land/ad/5550980278?se=wg83oZje8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=CDCA67E749986188DA8F0ADD47C7F20CE58611D9,2025-12-21 23:42:37,5550980278,Berkeley Research Group,"Baltimore, Baltimore County","We do Consulting Differently Overview Berkeley Research Group (BRG) is a global consulting firm that helps its clients, which consist of leading organizations and businesses, advance in three key areas: disputes and investigations, corporate finance, and performance improvement and advisory. We are an integrated group of experts, industry leaders, academics, data scientists, and economists, working beyond borders and disciplines. We harness our collective expertise to deliver the inspired insig…",2025-12-21,2025-12-21T23:42:37.990620,"$64,701 - $64,701",64701.06,64701.06,contract,Consultancy Jobs,58405e920729dcd6de8a810aea5d3dd1
"Senior Data Scientist, Pricing",Gametime United,"New York City, New York",adzuna,Senior,Full-time,On-site,257277.0,257277.0,257277.0,"$257,277-$257,277",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550978192?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550978192,Gametime United,"New York City, New York","Job Description Job Description About Us: Live experiences help people cross today's digital divide and focus on what truly connects us – the here, the now, this once-in-a-lifetime moment that's bringing us together. To fulfill Gametime's mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most. With platforms on iOS, Android, mobile web and desktop supporting more than 60,000 events across the US and Canada…",2025-12-21,2025-12-21T23:42:37.990620,"$257,277 - $257,277",257277.0,257277.0,Full-time,IT Jobs,8abbfc18e10e89cf3e97931c29ed1834
"Data Scientist, Journeyman (DoD Clearance Required)",Synectic Solutions,"Patuxent River, Prince George'S County",adzuna,Mid-level,Full-time,On-site,121039.33,121039.33,121039.33,"$121,039-$121,039",False,True,2025-12-21,500,6,r,https://www.adzuna.com/details/5550977667?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977667,Synectic Solutions Inc,"Patuxent River, Prince George's County","Job Description Job Description Responsibilities: Synectic Solutions is currently recruiting for a Data Scientist, Journeyman to support the Systems Engineering Department (SED) at Patuxent River Naval Air Station in Lexington Park, MD. The program is providing systems engineering support of weapons systems on various platforms including technical research and development of technologies, analysis, and documentation as part of the acquisition of Aircraft, Weapon, and Integrated Systems and the …",2025-12-21,2025-12-21T23:42:37.990620,"$121,039 - $121,039",121039.33,121039.33,Full-time,IT Jobs,04380a4c3716ddc2027d6b7ea2af7a54
Machine Learning Engineer - Product,Nextdoor,"San Francisco, California",adzuna,Mid-level,Full-time,On-site,135682.81,135682.81,135682.81,"$135,683-$135,683",False,True,2025-12-21,500,5,r,https://www.adzuna.com/details/5550977601?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977601,Nextdoor,"San Francisco, California","Job Description Job Description Team Nextdoor Nextdoor (NYSE: NXDR) is the essential neighborhood network. Neighbors, public agencies, and businesses use Nextdoor to connect around local information that matters in more than 340,000 neighborhoods across 11 countries. Nextdoor builds innovative technology to foster local community, share important news, and create neighborhood connections at scale. Download the app and join the neighborhood at nextdoor.com . Meet Your Future Neighbors At Nextdoo…",2025-12-21,2025-12-21T23:42:37.990620,"$135,683 - $135,683",135682.81,135682.81,Full-time,Engineering Jobs,abc5466707fe5bcb8e03f5aead6b042c
Data Scientist 1,4p Consulting,"Atlanta, Fulton County",adzuna,Mid-level,Full-time,On-site,86174.38,86174.38,86174.38,"$86,174-$86,174",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550977631?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977631,4P Consulting Inc.,"Atlanta, Fulton County","Job Description Job Description Job Description : 4P Consulting Inc. is seeking a highly skilled Data Scientist to join our team. As a Data Scientist, you will leverage your expertise in data analysis and machine learning to extract valuable insights, solve complex problems, and support data-driven decisions. You will work with large datasets to drive innovation and help organizations improve performance across a variety of industries, including finance, healthcare, and technology. Key Responsi…",2025-12-21,2025-12-21T23:42:37.990620,"$86,174 - $86,174",86174.38,86174.38,Full-time,IT Jobs,658fd7cac0d0d5d4aa1d504b0e98a770
"Principal Machine Learning Engineer, Generative Recommendations",Snap,"Palo Alto, Santa Clara County",adzuna,Senior,Full-time,On-site,276000.0,414000.0,345000.0,"$276,000-$414,000",False,True,2025-12-21,500,6,r,https://www.adzuna.com/details/5550977388?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977388,Snap,"Palo Alto, Santa Clara County","Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company’s three core products are Snapchat , a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio , an augmented reality platform that powers AR across Snapchat…",2025-12-21,2025-12-21T23:42:37.990620,"$276,000 - $414,000",276000.0,414000.0,Full-time,IT Jobs,685f4732124164faed7c2cd77d5ca677
Benefits Manager [Remote-US],Quanata,"San Francisco, California",adzuna,Manager,Full-time,On-site,155260.83,155260.83,155260.83,"$155,261-$155,261",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550977377?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977377,Quanata,"San Francisco, California","Job Description Job Description To help keep everyone safe, we encourage all applicants to pay close attention to protect themselves during their job search. When applying for a position online you are at risk of being targeted by malicious actors looking for personal data. Please be aware we will only reach out via email using the domain quanata.com. Anything that does not match those domains should be ignored and considered a security risk. About Us Quanata is on a mission to help ensure a be…",2025-12-21,2025-12-21T23:42:37.990620,"$155,261 - $155,261",155260.83,155260.83,Full-time,HR & Recruitment Jobs,737bf36c165121d602b1e29970e9e133
Senior Data Scientist,Garner Health,"New York City, New York",adzuna,Senior,Full-time,On-site,231629.16,231629.16,231629.16,"$231,629-$231,629",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550977319?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550977319,Garner Health,"New York City, New York","Job Description Job Description Healthcare quality is declining and soaring costs are crushing American families and businesses. At Garner, we've developed a revolutionary approach to evaluating doctor performance and a unique incentive model that's reshaping the healthcare economy to ensure everyone can afford high quality care. By providing organizations relief from surging healthcare costs, we've experienced rapid adoption in the market and have more than doubled our revenue annually over th…",2025-12-21,2025-12-21T23:42:37.992627,"$231,629 - $231,629",231629.16,231629.16,Full-time,IT Jobs,6ee5f981aefa9358f38e69f41184854c
Product Manager,Avela,"San Francisco, California",adzuna,Manager,Full-time,On-site,126741.23,126741.23,126741.23,"$126,741-$126,741",False,True,2025-12-21,500,2,r,https://www.adzuna.com/details/5550975985?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550975985,Avela,"San Francisco, California","Job Description Job Description Avela is a Nobel Prize winning platform for families to navigate their child's educational journey. Parents can find, apply, register, and pay for school and programs for their children, all from a common application system with saved profiles. Avela also powers backend admissions and operational workflows, making it easy for schools, districts, and educational providers to equitably serve students. We're like ""OpenTable for Education"" or ""Mindbody for Schools."" …",2025-12-21,2025-12-21T23:42:37.992627,"$126,741 - $126,741",126741.23,126741.23,Full-time,IT Jobs,975712885b05c63d7ad3ce9ed80b3336
Senior Computational Design Engineer,Relativity Space,"Long Beach, Los Angeles County",adzuna,Senior,Full-time,On-site,177700.94,177700.94,177700.94,"$177,701-$177,701",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550974880?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550974880,Relativity Space,"Long Beach, Los Angeles County","Job Description Job Description At Relativity Space, we're building rockets to serve today's needs and tomorrow's breakthroughs. Our Terran R vehicle will deliver customer payloads to orbit, meeting the growing demand for launch capacity. But that's just the start. Achieving commercial success with Terran R will unlock new opportunities to advance science, exploration, and innovation, pioneering progress that reaches beyond the known. Joining Relativity means becoming part of something where au…",2025-12-21,2025-12-21T23:42:37.992627,"$177,701 - $177,701",177700.94,177700.94,Full-time,Engineering Jobs,8ebf4512a18fb5a19171ff232960ba2c
Senior Machine Learning Platform Engineer,Match Group,"New York City, New York",adzuna,Senior,Full-time,On-site,123825.58,123825.58,123825.58,"$123,826-$123,826",False,True,2025-12-21,500,5,r,https://www.adzuna.com/details/5550974676?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550974676,Match Group,"New York City, New York","Job Description Job Description Hinge is the dating app designed to be deleted In today's digital world, finding genuine relationships is tougher than ever. At Hinge, we’re on a mission to inspire intimate connection to create a less lonely world. We’re obsessed with understanding our users’ behaviors to help them find love, and our success is defined by one simple metric– setting up great dates. With millions of users across the globe, we’ve become the most trusted way to find a relationship, …",2025-12-21,2025-12-21T23:42:37.992627,"$123,826 - $123,826",123825.58,123825.58,Full-time,IT Jobs,4d1418c753f6c5f2453bf5d3192c854d
Senior Data Scientist - Credit Underwriting,Clair,"New York City, New York",adzuna,Senior,Full-time,On-site,150739.34,150739.34,150739.34,"$150,739-$150,739",False,True,2025-12-21,500,6,r,https://www.adzuna.com/details/5550974292?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550974292,Clair,"New York City, New York","Job Description Job Description About Clair If you can send your friends money in seconds, why does it still take your employer two weeks to send your paycheck? At Clair, we are on a mission to create financial freedom for America's workers by giving them a digital banking platform that allows them to get paid as soon as they clock out of work. But we're not just another digital bank or on-demand pay provider. We meet Americans at their place of work by embedding our products within the schedul…",2025-12-21,2025-12-21T23:42:37.992627,"$150,739 - $150,739",150739.34,150739.34,Full-time,IT Jobs,6fb9cecbad759eac517990498533d6b1
Lead Data Scientist,"Investcloud,","Warren, Somerset County",adzuna,Senior,Full-time,On-site,169824.45,169824.45,169824.45,"$169,824-$169,824",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550974202?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550974202,"InvestCloud, Inc.","Warren, Somerset County","Job Description Job Description You will be joining InvestCloud’s newly formed AI, Data & Analytics team — the group responsible for driving increased value from the data InvestCloud captures to enable a smarter financial future for our clients through enhanced intelligence. This is a unique opportunity to contribute to a greenfield AI ecosystem, integrating advanced Machine Learning and Generative AI capabilities directly into InvestCloud’s product experiences. The team is building for scale, …",2025-12-21,2025-12-21T23:42:37.992627,"$169,824 - $169,824",169824.45,169824.45,Full-time,IT Jobs,47a4698be94a541e7d2fa36550f8e090
Account Manager,Leadership Connect,"Washington, Washington, D.C.",adzuna,Manager,Full-time,On-site,57877.31,57877.31,57877.31,"$57,877-$57,877",False,True,2025-12-21,500,2,r,https://www.adzuna.com/details/5550974155?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550974155,Leadership Connect,"Washington, Washington, D.C.","Job Description Job Description Who are we? At Leadership Connect, we believe that relationships are everything in business and in life. Founded by two former CEOs of S&P 500 companies and a former presidential press secretary, our premier information service is built for developing relationships that impact decisions in government, business, and media. Utilizing deep research expertise and cutting-edge technology, we help our clients win business and influence policy across various specialties…",2025-12-21,2025-12-21T23:42:37.992627,"$57,877 - $57,877",57877.31,57877.31,Full-time,Sales Jobs,1f6889159dde93620c60942a8c0d5d25
